"duration","deaths","area","gdp","country","lat","lon","Began","Ended","dismagvalue","lm_USD","rf_USD","xgb_USD","svr_USD","brnn_USD","knn_USD"
23,6,96490,3.11e+11,"Australia",NA,NA,"1990/12/25","1991/01/16",96490,43490000,76845000,49130000,30367000,38809000,21260000
6,472,3060,2203545857,"Malawi",NA,NA,"1991/03/10","1991/03/15",3060,2853000,8975000,5161000,2842000,4054000,3948000
13,20,89510,3.43e+11,"Brazil",NA,NA,"1991/03/19","1991/03/31",89510,68816000,14664000,53938000,40381000,50751000,56289000
2,42,40170,1.5e+11,"Turkey",NA,NA,"1991/05/16","1991/05/17",40170,21169000,27141000,18092000,20517000,19262000,10118000
3,15,7560,4106199176,"Jamaica",NA,NA,"1991/05/21","1991/05/23",7560,561000,3359000,299000,293000,440000,1729000
3,72,491400,2.7e+11,"India",NA,NA,"1991/06/10","1991/06/12",491400,38481000,87772000,29347000,126510000,56441000,106035000
1,23,1011,2137184858,"Myanmar",NA,NA,"1991/07/13","1991/07/13",1011,313000,5012000,718000,604000,245000,925000
5,54,21910,3.31e+11,"Korea (the Republic of)",NA,NA,"1991/07/22","1991/07/26",21910,91029000,106939000,84638000,45519000,75432000,101602000
4,38,30960,9613369520,"Viet Nam",NA,NA,"1991/07/28","1991/07/31",30960,1870000,1847000,1712000,1063000,1501000,806000
2,108,40940,28998684211,"Romania",NA,NA,"1991/07/29","1991/07/30",40940,6604000,24317000,5099000,6918000,7966000,2986000
4,106,554200,3.83e+11,"China",NA,NA,"1991/08/09","1991/08/12",554200,74432000,318664000,67151000,202431000,118276000,183638000
4,26,920,3.83e+11,"China",NA,NA,"1991/09/07","1991/09/10",920,116247000,47571000,172921000,94065000,98760000,328959000
2,84,91960,2.7e+11,"India",NA,NA,"1991/09/14","1991/09/15",91960,46690000,85280000,40731000,82421000,58856000,209856000
1,1,70,98234695722,"Thailand",NA,NA,"1991/10/26","1991/10/26",70,4720000,2486000,8728000,19226000,13380000,34799000
4,18,7910,34630430000,"Puerto Rico",NA,NA,"1992/01/05","1992/01/08",7910,5894000,34713000,3835000,2893000,4612000,5460000
9,21,12840,48003078389,"Algeria",NA,NA,"1992/01/21","1992/01/29",12840,11829000,2519000,5376000,8503000,9368000,21290000
40,248,545400,4.27e+11,"China",NA,NA,"1992/03/15","1992/04/23",545400,377199000,506583000,719496000,469013000,475899000,1517395000
46,22,550,18094238119,"Ecuador",NA,NA,"1992/03/24","1992/05/08",550,17365000,24923000,9938000,26020000,13435000,50288000
4,14,11670,9703011636,"Sri Lanka",NA,NA,"1992/06/05","1992/06/08",11670,1354000,11997000,1075000,763000,1060000,559000
51,88,491100,4.27e+11,"China",NA,NA,"1992/06/12","1992/08/01",491100,253878000,13936000,154663000,359558000,219018000,208429000
16,35,393000,4.27e+11,"China",NA,NA,"1992/06/29","1992/07/14",393000,96007000,107911000,90624000,57033000,75595000,117094000
20,96,65830,4.27e+11,"China",NA,NA,"1992/07/02","1992/07/21",65830,246729000,128105000,162556000,207395000,220441000,99133000
27,112,137600,48884606848,"Pakistan",NA,NA,"1992/07/15","1992/08/10",137600,30757000,880000,14527000,25785000,28628000,5533000
11,1334,19409,48884606848,"Pakistan",NA,NA,"1992/09/08","1992/09/18",19409,102089000,530336000,167481000,186639000,209121000,264581000
5,55,569,9866990236,"Viet Nam",NA,NA,"1992/10/05","1992/10/09",569,5317000,18904000,6463000,4947000,4451000,6402000
3,11,5620,652174990.8,"Albania",NA,NA,"1992/11/17","1992/11/19",5620,80000,513000,42000,49000,66000,417000
5,23,23140,62036625222,"Philippines (the)",NA,NA,"1993/02/01","1993/02/05",23140,10929000,26004000,11104000,6070000,8276000,3445000
4,59,19200,1.58e+11,"Indonesia",NA,NA,"1993/02/02","1993/02/05",19200,41947000,34953000,41264000,18734000,35727000,23663000
20,407,625200,63743623232,"Iran (Islamic Republic of)",NA,NA,"1993/02/03","1993/02/22",625200,51134000,424280000,120674000,77603000,89382000,177908000
6,31,61490,5368270615,"Yemen",NA,NA,"1993/02/05","1993/02/10",61490,1004000,1942000,921000,7e+05,781000,1879000
6,2,25230,6.86e+12,"United States of America (the)",NA,NA,"1993/03/07","1993/03/12",25230,372607000,405801000,468721000,726753000,473400000,287792000
6,63,20,66446804803,"Colombia",NA,NA,"1993/04/26","1993/05/01",20,76784000,21383000,23211000,25262000,42993000,5838000
10,10,213200,23409260880,"Kazakhstan",NA,NA,"1993/05/26","1993/06/04",213200,2491000,7643000,2606000,1445000,1875000,2508000
11,8,13960,10338679636,"Sri Lanka",NA,NA,"1993/05/28","1993/06/07",13960,1685000,707000,1492000,2250000,1578000,601000
19,28,607,33166519418,"Bangladesh",NA,NA,"1993/06/04","1993/06/22",607,23377000,21375000,23976000,34181000,19437000,123032000
5,125,23270,4.35e+11,"Russian Federation (the)",NA,NA,"1993/06/13","1993/06/17",23270,181587000,58881000,111825000,121489000,186553000,56035000
